Category,Sub Category,Ward Name
Electrical,Street Light Not Working,Jagajeevanram Nagar
Electrical,Street Light Not Working,Kammanahalli
Solid Waste (Garbage) Related,Garbage dump,Banaswadi
Electrical,Street Light Not Working,Gandhi Nagar
Solid Waste (Garbage) Related,Garbage dump,Kumaraswamy Layout
Electrical,Street Light Not Working,Jogupalya
Electrical,Street Light Not Working,Vijanapura
Electrical,Street Light Not Working,Shanthi Nagar
Solid Waste (Garbage) Related,Garbage dump,Uttarahalli
Road Maintenance(Engg),footpath encroachment,Doddanekkundi
Electrical,Street Light Not Working,Kengeri
veterinary,Stray dog related complaints,Shankaramata
veterinary,Animal Rescue - Not well - Requires attention,Singasandra
Solid Waste (Garbage) Related,Garbage dump,Kavalbyrasandra
Electrical,Street Light Not Working,Shankaramata
Solid Waste (Garbage) Related,Garbage dump,Thanisandra
Electrical,Street Light Not Working,Giri Nagar
Electrical,Street Light Not Working,Begur
Forest,obstructions Branches / Trees.,Vishwanathnagenahalli
Forest,Removal of dead/fallen trees,Anjanapur
Electrical,Street Light Not Working,Byatarayanapura
Electrical,Street Light Not Working,Doddanekkundi
Solid Waste (Garbage) Related,Garbage dump,Doddanekkundi
Forest,Removal of dead/fallen trees,Gottigere
Health Dept,Unhygienic  premises in hospital,Hoysala Nagar
Others,Others,Singasandra
Road Maintenance(Engg),Potholes,Bilekahalli
Electrical,Street Light Not Working,BTM Layout
Electrical,Street Light Not Working,Gottigere
veterinary,Anti Rabies Vaccination of stray dogs,Varthur
Electrical,Street Light Not Working,Bellandur
Forest,Removal of dead/fallen trees,Uttarahalli
Road Maintenance(Engg),Road side drains,Varthur
Electrical,Street Light Not Working,Basaveshwara Nagar
Solid Waste (Garbage) Related,Garbage dump,Bommanahalli
veterinary,shifting of the street dogs to other places,Jnanabharathi Ward
Electrical,Street Light Not Working,Vidyaranyapura
Electrical,Street Light Not Working,Padarayanapura
Solid Waste (Garbage) Related,Garbage dump,Shiva Nagar
Road Maintenance(Engg),Road side drains,Radhakrishna Temple
Forest,Removal of dead/fallen trees,Giri Nagar
Electrical,Street Light Not Working,Sanjay Nagar
Solid Waste (Garbage) Related,Garbage dump,Hagadooru
Electrical,Street Light Not Working,Benniganahalli
Solid Waste (Garbage) Related,Garbage dump,Padmanabha Nagar
Electrical,Street Light Not Working,Herohalli
Solid Waste (Garbage) Related,Garbage dump,HSR Layout
Forest,obstructions Branches / Trees.,Anjanapur
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Thanisandra
Solid Waste (Garbage) Related,Sweeping not done,Yelahanka old Satellite Town
Electrical,Street Light Not Working,Chikkalasandra
Electrical,Street Light Not Working,Bagalagunte
Electrical,Street Light Not Working,Basavanagudi
Road Maintenance(Engg),Road side drains,Neelasandra
Electrical,Street Light Not Working,Sarakki
Storm  Water Drain(SWD),Sewerage water left in SWD,Vidyaranyapura
Electrical,Street Light Not Working,Hosahalli
Electrical,Street Light Not Working,Newthippasandra
Electrical,Street Light Not Working,Uttarahalli
Solid Waste (Garbage) Related,Garbage dump,Horamavu
Solid Waste (Garbage) Related,Garbage dump,Byatarayanapura
Electrical,Street Light Not Working,Jnanabharathi Ward
veterinary,Fatally injured - Needs immediate attention,Koramangala
Electrical,Street Light Not Working,Mahalakshmipuram
Electrical,Street Light Not Working,Hagadooru
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Thanisandra
Road Maintenance(Engg),Road side drains,Bommanahalli
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Someshwara
Electrical,Street Light Not Working,Kempegowda Ward
Electrical,Street Light Not Working,Hemmigepura
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Banashankari Temple Ward
Electrical,Street Light Not Working,Subedarapalya
Electrical,Street Light Not Working,Thanisandra
Electrical,Street Light Not Working,Shakthiganapathi Nagar
Electrical,Street Light Not Working,Banaswadi
Electrical,Street Light Not Working,Vishwanathnagenahalli
Electrical,Street Light Not Working,Yelachenahalli
Electrical,Street Light Not Working,Arakere
Solid Waste (Garbage) Related,Garbage dump,Hoysala Nagar
Electrical,Street Light Not Working,Hombegowda Nagar
Electrical,Street Light Not Working,HBR Layout
Solid Waste (Garbage) Related,Garbage dump,Benniganahalli
Road Maintenance(Engg),Road cutting,Banashankari Temple Ward
